Source,Target,Filter,Learner,TN,TP,FN,FP,err,pd,pf,prec,g-measure
ambari-train.csv,ambari-test.csv,train,naive_bayes,15103,55,60,5752,27.71578445398188,47.82608695652174,27.58091584751858,0.9471327707938695,57.60765915245833
ambari-clni.csv,ambari-test.csv,clni,naive_bayes,15057,52,63,5798,27.94945159752027,45.21739130434783,27.801486454087748,0.8888888888888888,55.60794242928394
ambari-farsecsq.csv,ambari-test.csv,farsecsq,naive_bayes,10487,82,33,10368,49.59942775393419,71.30434782608695,49.71469671541597,0.7846889952153111,58.97805813556735
ambari-farsectwo.csv,ambari-test.csv,farsectwo,random_forest,20454,53,62,401,2.2079160705770153,46.08695652173913,1.9228002877007913,11.67400881057269,62.707399078820835
ambari-farsec.csv,ambari-test.csv,farsec,naive_bayes,14744,59,56,6111,29.408679065331427,51.30434782608696,29.30232558139535,0.9562398703403566,59.459638654069295
camel-train.csv,camel-test.csv,train,naive_bayes,437,3,3,57,12.0,50.0,11.53846153846154,5.0,63.88888888888889
camel-clni.csv,camel-test.csv,clni,naive_bayes,438,2,4,56,12.0,33.33333333333333,11.33603238866397,3.448275862068966,48.451327433628315
ambari-farsecsq.csv,ambari-test.csv,farsecsq,naive_bayes,253,3,3,241,48.8,50.0,48.78542510121457,1.2295081967213108,50.6
camel-farsectwo.csv,camel-test.csv,farsectwo,logistic_regression,339,3,3,155,31.6,50.0,31.376518218623477,1.89873417721519,57.84982935153584
camel-farsec.csv,camel-test.csv,farsec,naive_bayes,431,3,3,63,13.200000000000001,50.0,12.753036437246958,4.545454545454545,63.569321533923315
chromium-train.csv,chromium-test.csv,train,naive_bayes,472,3,4,21,5.0,42.85714285714286,4.259634888438134,12.5,59.20970102446163
chromium-clni.csv,chromium-test.csv,clni,naive_bayes,472,3,4,21,5.0,42.85714285714286,4.259634888438134,12.5,59.20970102446163
chromium-farsecsq.csv,chromium-test.csv,farsecsq,multilayer_perceptron,459,4,3,34,7.3999999999999995,57.14285714285714,6.896551724137931,10.52631578947368,70.81967213114754
chromium-farsectwo.csv,chromium-test.csv,farsectwo,naive_bayes,472,3,4,21,5.0,42.85714285714286,4.259634888438134,12.5,59.20970102446163
wicket-farsec.csv,wicket-test.csv,farsec,logistic_regression,419,4,3,74,15.4,57.14285714285714,15.01014198782961,5.128205128205128,68.33843017329255
wicket-train.csv,wicket-test.csv,train,naive_bayes,423,5,13,58,14.228456913827662,27.77777777777778,12.05821205821206,7.936507936507938,42.219782413414514
wicket-clni.csv,wicket-test.csv,clni,naive_bayes,435,4,14,46,12.02404809619238,22.22222222222222,9.563409563409563,8.0,35.677670699200334
derby-farsecsq.csv,derby-test.csv,farsecsq,naive_bayes,236,11,7,245,50.50100200400802,61.11111111111111,50.93555093555094,4.296875,54.42918544920851
derby-farsectwo.csv,derby-test.csv,farsectwo,naive_bayes,371,8,10,110,24.048096192384772,44.44444444444444,22.86902286902287,6.779661016949152,56.39369181075432
ambari-farsec.csv,ambari-test.csv,farsec,logistic_regression,439,5,13,42,11.022044088176349,27.77777777777778,8.731808731808732,10.63829787234043,42.59241292325604
wicket-train.csv,wicket-test.csv,train,naive_bayes,343,16,26,115,28.199999999999996,38.0952380952381,25.10917030567686,12.21374045801527,50.501518358332575
wicket-clni.csv,wicket-test.csv,clni,naive_bayes,365,15,27,93,24.0,35.71428571428571,20.3056768558952,13.88888888888889,49.32432432432432
chromium-farsecsq.csv,chromium-test.csv,farsecsq,naive_bayes,370,19,23,88,22.2,45.23809523809524,19.21397379912664,17.75700934579439,57.99851497401204
wicket-farsectwo.csv,wicket-test.csv,farsectwo,logistic_regression,225,30,12,233,49.0,71.42857142857143,50.87336244541485,11.40684410646388,58.214747736093145
wicket-farsec.csv,wicket-test.csv,farsec,naive_bayes,354,19,23,104,25.4,45.23809523809524,22.707423580786028,15.447154471544719,57.07254985150615
