chromium,:sq,13171,41,74,7569,36.6482857827859,35.65217391304348,36.494696239151395,0.5387647831800263,45.666795630453215
chromium,:two,20739,0,115,1,0.5562215296092063,0,0.004821600771456123,0,0
chromium,:none,20740,0,115,0,0.5514265164229202,0,0,0,0
wicket,:sq,138,4,2,350,71.25506072874494,66.66666666666667,71.72131147540985,1.129943502824859,39.712230215827326
wicket,:two,149,4,2,339,69.02834008097166,66.66666666666667,69.4672131147541,1.166180758017493,41.88334504567814
wicket,:none,283,3,3,205,42.10526315789474,50.0,42.00819672131148,1.442307692307692,53.70018975332068
ambari,:sq,85,5,2,401,81.7444219066937,71.42857142857143,82.51028806584361,1.231527093596059,28.099173553719023
ambari,:two,211,3,4,275,56.59229208924948,42.85714285714286,56.5843621399177,1.079136690647482,43.13458262350937
ambari,:none,434,0,7,52,11.96754563894523,0,10.69958847736626,0,0
camel,:sq,64,17,2,398,83.16008316008316,89.47368421052632,86.14718614718615,4.096385542168675,23.99117971334068
camel,:two,135,12,7,327,69.43866943866944,63.15789473684211,70.77922077922078,3.539823008849558,39.95560488346282
camel,:none,402,2,17,60,16.008316008316008,10.52631578947368,12.987012987012992,3.225806451612903,18.78065872459705
derby,:sq,9,37,0,412,89.95633187772926,100.0,97.8622327790974,8.240534521158128,4.186046511627889
derby,:two,126,29,8,295,66.15720524017466,78.37837837837837,70.07125890736341,8.950617283950617,43.31693438444669
derby,:none,417,0,37,4,8.951965065502183,0,0.9501187648456058,0,0
