Source,Target,Filter,Learner,TN,TP,FN,FP,err,pd,pf,prec,g-measure
chromium-train.csv,chromium-test.csv,train,naive_bayes,18987,47,68,1868,9.232236528373868,40.869565217391305,8.957084631982738,2.4543080939947783,56.414440100009806
chromium-clni.csv,chromium-test.csv,clni,naive_bayes,18987,47,68,1868,9.232236528373868,40.869565217391305,8.957084631982738,2.4543080939947783,56.414440100009806
chromium-farsecsq.csv,chromium-test.csv,farsecsq,logistic_regression,18666,78,37,2189,10.61516452074392,67.82608695652173,10.49628386478063,3.440670489633877,77.17147945554001
chromium-farsectwo.csv,chromium-test.csv,farsectwo,naive_bayes,18987,47,68,1868,9.232236528373868,40.869565217391305,8.957084631982738,2.4543080939947783,56.414440100009806
chromium-farsec.csv,chromium-test.csv,farsec,naive_bayes,18987,47,68,1868,9.232236528373868,40.869565217391305,8.957084631982738,2.4543080939947783,56.414440100009806
wicket-train.csv,wicket-test.csv,train,naive_bayes,459,1,5,35,8.0,16.66666666666667,7.08502024291498,2.777777777777778,28.263546798029562
wicket-clni.csv,wicket-test.csv,clni,naive_bayes,467,0,6,27,6.6000000000000005,0,5.465587044534413,0,0
wicket-farsecsq.csv,wicket-test.csv,farsecsq,logistic_regression,305,4,2,189,38.2,66.66666666666667,38.25910931174089,2.072538860103627,64.10930110352075
wicket-farsectwo.csv,wicket-test.csv,farsectwo,logistic_regression,313,4,2,181,36.6,66.66666666666667,36.63967611336032,2.162162162162162,64.97145822522056
wicket-farsec.csv,wicket-test.csv,farsec,logistic_regression,454,2,4,40,8.799999999999999,33.33333333333333,8.097165991902834,4.761904761904763,48.92241379310344
ambari-train.csv,ambari-test.csv,train,naive_bayes,428,2,5,65,14.000000000000002,28.57142857142857,13.184584178498989,2.985074626865672,42.993470617780005
ambari-clni.csv,ambari-test.csv,clni,naive_bayes,438,2,5,55,12.0,28.57142857142857,11.156186612576061,3.508771929824561,43.237907206317864
ambari-farsecsq.csv,ambari-test.csv,farsecsq,random_forest,422,3,4,71,15.0,42.85714285714286,14.401622718052739,4.054054054054054,57.117076471915176
ambari-farsectwo.csv,ambari-test.csv,farsectwo,logistic_regression,364,5,2,129,26.200000000000003,71.42857142857143,26.16632860040568,3.73134328358209,72.61121085178536
ambari-farsec.csv,ambari-test.csv,farsec,naive_bayes,420,2,5,73,15.6,28.57142857142857,14.80730223123732,2.666666666666667,42.79164544065206
camel-train.csv,camel-test.csv,train,naive_bayes,410,3,15,71,17.23446893787575,16.66666666666667,14.760914760914758,4.054054054054054,27.88167290037403
camel-clni.csv,camel-test.csv,clni,naive_bayes,416,3,15,65,16.03206412825651,16.66666666666667,13.513513513513509,4.411764705882353,27.947598253275117
camel-farsecsq.csv,camel-test.csv,farsecsq,naive_bayes,236,9,9,245,50.90180360721443,50.0,50.93555093555094,3.543307086614173,49.52780692549842
camel-farsectwo.csv,camel-test.csv,farsectwo,logistic_regression,280,9,9,201,42.08416833667335,50.0,41.78794178794179,4.285714285714286,53.79442843419788
camel-farsec.csv,camel-test.csv,farsec,logistic_regression,448,3,15,33,9.619238476953909,16.66666666666667,6.860706860706861,8.333333333333332,28.27390343957085
derby-train.csv,derby-test.csv,train,naive_bayes,427,16,26,31,11.4,38.0952380952381,6.768558951965066,34.04255319148936,54.08914575251366
derby-clni.csv,derby-test.csv,clni,naive_bayes,426,16,26,32,11.600000000000001,38.0952380952381,6.986899563318777,33.33333333333333,54.05233941316416
derby-farsecsq.csv,derby-test.csv,farsecsq,ib_k,321,23,19,137,31.2,54.76190476190476,29.912663755458517,14.374999999999998,61.4840106595603
derby-farsectwo.csv,derby-test.csv,farsectwo,logistic_regression,347,23,19,111,26.0,54.76190476190476,24.23580786026201,17.164179104477608,63.573363071530984
derby-farsec.csv,derby-test.csv,farsec,logistic_regression,415,17,25,43,13.600000000000001,40.47619047619048,9.388646288209607,28.333333333333332,55.956535532994934
